Report generated on: 02-28-2022 17:53:25
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-WORL-QBTU.A","    Production (quad Btu)","296.33722758863627","291.2877731828766","290.1205665759991","293.0466469371524","308.92101366220777","316.46426154850144","326.7530652183027","334.3845057886132","347.41286310379365","354.00812437426225","357.8395221670434","355.13083034179823","353.9360512712327","354.5943271934621","360.67314352443657","368.5758304766361","377.75317101251113","382.3033014616505","386.79309440918405","386.63836132696315","399.8552158428318","405.5472603474746","407.35835876944304","423.1305352254321","445.4459056604958","461.3211349473828","473.69706390397073","482.36143932595513","495.32098661508064","493.04267298130344","518.7316575467809","534.1878726115887","546.3336053856784","554.1775530046207","563.3312418721082","568.5582919870983","564.5802759287474","578.2452544015486","600.7287295060831","611.5089686476265"
"INTL.4411-1-WORL-QBTU.A","        Coal (quad Btu)","80.11419429217284","80.46072857252325","83.39892921243354","83.68635266676536","87.66942309140777","91.67976259540721","94.04460314569837","96.27315618601719","98.484482307848","99.69778782084639","99.11074085983896","94.63565455518135","92.56405948991218","89.79400597379774","91.52288397033556","93.03955526765327","95.01504397536881","95.15016778775667","94.85931553548534","93.43483869397639","96.35223567253495","100.62253043886615","101.53874260410691","109.18101217643526","117.93743842534616","125.8422496276309","132.82156350133792","138.74599579132425","143.32576248746622","145.0651248632707","156.2100118801702","164.6660958626647","169.22524588632982","171.89785074745168","171.42657584106516","167.60275094035566","157.77758424857956","162.08837741321935","168.30773445894206","171.84042432282158"
"INTL.4413-1-WORL-QBTU.A","        Natural gas (quad Btu)","54.761045594","55.573536747","55.495522664","56.115951591","61.758597532","64.124522824","65.3286482","68.456090111","71.852937709","74.275334695","75.71061055622445","76.54630922805","76.98422316215","78.26171644017","79.09593181919","80.259389028885","82.472672797445","82.67449658445","84.254563484725","86.177673629795","89.284232201125","91.07169452946","93.015439943915","96.017745427345","98.69077144902","102.05366759534","105.9648831963465","108.24629312239315","111.655585316465","109.557474242312","116.9456786391905","121.00264316649792","123.53319087066691","125.0319148566211","126.99005268263717","129.64451519214128","130.87610482247993","136.85060050523123","144.43914439915687","149.4015884572352"
"INTL.4415-1-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","133.11110886607943","125.4389494908981","119.76280547269802","119.26919636784994","122.55382660121982","121.1347896143825","126.54884517346557","127.41624158977147","132.48530315454272","134.51224497683808","136.20048496405158","135.6845937855959","135.97233507662952","136.16617908665611","138.79962323865502","141.7986045160947","145.33288245897097","149.41746070172442","152.30484143945174","150.20614271476774","156.3524197410136","155.599378877645","153.93557188127215","159.02637524606845","166.96336658077956","169.7702379970861","169.4516308666953","169.04951340235297","171.54927933264085","168.7490295671348","171.40887623730035","173.4474119288603","178.21978509999002","177.97108862063723","182.65862375335178","187.83561006774252","188.7985399749401","188.7370598455391","193.0508931904455","192.13455811703946"
"INTL.4419-1-WORL-QBTU.A","        Nuclear, renewables, and other (quad Btu)","28.350878836383984","29.814558372455274","31.46330922686749","33.97514631153708","36.939166437580155","39.52518651471176","40.830968699138765","42.23901790182453","44.590139932402906","45.52275688157778","46.81768578692844","48.264272772971","48.415433542541","50.372425692838256","51.254704496256","53.478281664003106","54.93257178072635","55.06117638771944","55.374373949522","56.819706288424","57.86632822815825","58.25365650150345","58.868604340149","58.90540237558338","61.85432920535007","63.654979727325774","65.45898633959098","66.31963700988474","68.79035947850853","69.67104430858593","74.16709079011979","75.07172165356567","75.35538352869168","79.27669877991069","82.25598959505412","83.47541578685885","87.12804688274781","90.56921663755891","94.93095745753871","98.13239775053029"
"INTL.4417-1-WORL-QBTU.A","            Nuclear (quad Btu)","7.575700462108056","8.527153469041346","9.50768642751678","10.718344095623602","12.994607878980153","15.298615144911766","16.247905140338766","17.643888337124533","19.226897009802904","19.73998079757778","20.356921439558445","21.182969679019","21.279740377511","22.008421930090257","22.405882022448","23.257957417755105","24.10796693266635","23.88021511247444","24.307510268174","25.084084853514","25.65052127917325","26.38297596440445","26.671801824546","26.295364207393","27.24894844964241","27.30488986758656","27.6704188738486","27.16302390461301","27.03040339943654","26.64169141457496","27.37991816251363","26.247553137332254","24.474108820505307","24.651921363938744","25.138315345434304","25.43752788818358","25.712197376129314","25.89828117063508","26.513243556955885","27.65989087153229"
"INTL.4418-1-WORL-QBTU.A","            Renewables and other (quad Btu)","20.775178374275928","21.287404903413925","21.95562279935071","23.25680221591348","23.9445585586","24.2265713698","24.5830635588","24.5951295647","25.3632429226","25.782776084","26.46076434737","27.081303093952","27.13569316503","28.364003762748","28.848822473808","30.220324246248","30.82460484806","31.180961275245","31.066863681348","31.73562143491","32.215806948985","31.870680537099","32.196802515603","32.61003816819038","34.60538075570766","36.350089859739214","37.788567465742375","39.15661310527173","41.759956079072","43.02935289401098","46.78717262760616","48.824168516233414","50.88127470818636","54.62477741597194","57.11767424961982","58.03788789867526","61.41584950661849","64.67093546692384","68.41771390058283","70.472506878998"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-AFG-QBTU.A","    Production (quad Btu)","0.07256115614667066","0.09272365463746368","0.09506786743187949","0.09971281973566948","0.09982734303917455","0.12096783009943252","0.12054976892110061","0.114835081155632","0.1213943959239381","0.1192256243355804","0.11883270034801532","0.020505265929613076","0.016142546028099742","0.016076217734531384","0.01602405594096303","0.01173932564739467","0.012296322030705074","0.011832375737136715","0.011602889737136716","0.011591797443568358","0.011706709443568358","0.007509174600988823","0.007910393953594155","0.007810977272656924","0.007071474979088566","0.007292052505967328","0.007750630272656924","0.01368175746235599","0.014057641097205524","0.01858013914377475","0.02692579367150454","0.04104421211242948","0.037492262916033615","0.040816563280627896","0.04478950651933605","0.04205799729038833","0.04950511782484147","0.05950054255404184","0.06317585556177092","0.05521030952760256"
