Report generated on: 03-02-2022 13:01:32
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-WORL-QBTU.A","    Consumption (quad Btu)","292.89978962044677","289.40102169937586","289.6911022148106","293.73162574512844","307.2343654436228","315.4271480750418","322.18485367832346","332.7462452429408","345.56087642070815","351.35235625906864","353.5448736771998","353.89379784166266","352.85123499241496","355.6763483538731","359.52242884167964","369.3639880433886","379.1916275421673","380.3569396987629","382.48894136306217","389.6899240558889","402.37872238868084","405.22036219371427","413.97091062231283","428.50163239364326","450.6891419001005","465.29310643094686","480.02462751195685","493.0555679017155","499.78599880251386","495.0670824913278","526.7304676782012","540.4951270120151","551.6003834140112","561.0921505733213","566.1299422438332","567.3288217730257","572.1592307317517","584.2018162974296","597.7365823171332","601.0404899538854"
"INTL.4411-2-WORL-QBTU.A","        Coal (quad Btu)","78.65613402957176","78.9635811572502","80.42233145882604","82.63117397819225","86.35602132998221","89.40927570308125","90.43233993374493","94.05052174459549","96.87317779039795","96.91196100153739","95.86821051948637","92.79332773456142","90.33662590324897","90.35808901345528","90.80055859663648","93.39771785841435","95.43679120460541","93.94179571905323","93.32844651317795","93.71771359906965","98.65762994538655","99.65626417533355","102.20566985113796","110.73420015103117","120.26882746150632","128.30798263540512","135.43779024771712","142.11523807257115","144.71222820642691","145.839438748034","157.78400778429594","166.2996775467487","171.40109186597854","173.32209852457285","172.36054129319592","167.55604551302267","163.26576382050655","164.2355903925062","165.88969331156548","163.97177585957522"
"INTL.4413-2-WORL-QBTU.A","        Natural gas (quad Btu)","53.865223303","53.895423471","54.055255448","55.149772666","60.842896415","63.371661785","64.224390643","67.561969979","71.010048252","74.229726266","75.1232191863526","76.729898462955","77.11050758932","79.11024176793","79.00091895378","81.324420245955","83.19845674782","83.6992688324645","84.3733127522675","86.518865328148","89.60485067943","89.9313550030595","94.060202677925","96.78718448268","99.794809654715","102.60690568774","106.312122890923","109.720940385248","112.872765057765","109.14931366682482","119.42387934839795","122.99248610538244","125.80264763157163","127.65467615117959","128.14512471331605","130.05169300073453","132.69922920813946","137.0509911947091","143.8918578857722","146.92339602648022"
"INTL.4415-2-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","132.06401937163076","126.81113213676979","123.92428288938333","122.21533499685697","123.41709237538814","123.47159748556288","127.00641121864258","129.26577065229108","133.44581391475253","135.03680047363878","136.13352935820737","136.44086780686322","137.34167892047086","136.1587100913755","138.8725208592033","141.60974269046193","146.05621548862808","148.1374849751835","149.87485668240456","153.06806927203507","156.6662310775443","157.84758543802394","159.3442758238204","162.76075297218082","169.55927017750517","171.64048708217436","173.98767208827496","176.51233897647805","175.58349664756403","172.67894835493252","177.93274273599405","178.82455167979182","181.73874865005945","183.7594021705714","186.52025825071738","189.3365688883315","192.51128575791682","195.93670633542715","196.92883215112363","196.07735760722844"
"INTL.4419-2-WORL-QBTU.A","        Nuclear, renewables, and other (quad Btu)","28.278044616244237","29.6404771213559","31.229996382601204","33.66568072507923","36.53782339725242","39.100817440397684","40.476408861935965","41.77073925805424","44.15438110955765","45.177516436892454","46.470694130153475","47.926565574282996","48.02465097737514","50.024958990112296","50.74654013805989","52.954513655557314","54.42436289611375","54.52230740906167","54.87475390721218","56.351083185636206","57.409752302319994","57.829762039297286","58.40641561742945","58.388606125751245","61.19472933637401","62.96498859162735","64.66181930704178","65.20465851241832","67.32518425975792","68.28460285353646","72.6310827315133","73.44644694709217","73.69926256740155","77.47841774999748","80.26401923860385","81.54694664393696","84.95746341918888","88.29469710978718","92.36296608467185","95.41886761060158"
"INTL.4417-2-WORL-QBTU.A","            Nuclear (quad Btu)","7.575700462108056","8.527153469041346","9.50768642751678","10.718344095623602","12.994607878980153","15.298615144911766","16.247905140338766","17.643888337124533","19.226897009802904","19.73998079757778","20.356921439558445","21.182969679019","21.279740377511","22.008421930090257","22.405882022448","23.257957417755105","24.10796693266635","23.88021511247444","24.307510268174","25.084084853514","25.65052127917325","26.38297596440445","26.671801824546","26.295364207393","27.24894844964241","27.30488986758656","27.6704188738486","27.16302390461301","27.03040339943654","26.64169141457496","27.37991816251363","26.247553137332254","24.474108820505307","24.651921363938744","25.138315345434304","25.43752788818358","25.712197376129314","25.89828117063508","26.513243556955885","27.65989087153229"
"INTL.4418-2-WORL-QBTU.A","            Renewables and other (quad Btu)","20.70234415413618","21.113323652314552","21.722309955084427","22.947336629455624","23.543215518272262","23.80220229548592","24.228503721597203","24.12685092092971","24.927484099754743","25.437535639314675","26.113772690595034","26.743595895263994","26.744910599864138","28.016537060022042","28.34065811561189","29.69655623780221","30.3163959634474","30.642092296587226","30.567243639038185","31.26699833212221","31.759231023146743","31.446786074892838","31.734613792883454","32.093241918358245","33.945780886731605","35.66009872404079","36.99140043319318","38.04163460780531","40.294780860321374","41.6429114389615","45.25116456899967","47.19889380975991","49.22515374689624","52.826496386058736","55.12570389316955","56.10941875575339","59.24526604305957","62.3964159391521","65.84972252771597","67.75897673906928"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AFG-QBTU.A","    Consumption (quad Btu)","0.02658321667756184","0.029949457623843767","0.031897814673808554","0.03902180313163165","0.03920224040186807","0.03827496129519434","0.039111198580053776","0.06306515769145625","0.11122078650562646","0.10936453856934128","0.10832034143696309","0.04743819775898182","0.03128176575298239","0.031068733251352468","0.030081108758152546","0.02534847326495263","0.02486021943357976","0.02367338825784984","0.02303955525784984","0.02302743728319992","0.020178061853199918","0.01591449045921003","0.015109508584207386","0.01776927950701234","0.016413668953812403","0.020995960691609476","0.026428278277012326","0.03425470933468043","0.05852648285351456","0.09534879450216566","0.11853852864995157","0.16105080218714038","0.1476076485691699","0.12450427328434109","0.1143137511302674","0.12629013628746977","0.11757565429923286","0.12494125714475693","0.14327311946093876","0.12274842133951257"
