Report generated on: 03-02-2022 13:07:19
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.4702-33-BHR-THP.A","        Bahrain","339.605","350.839","362.072","373.305","384.538","395.772","410.212","424.653","439.094","453.629","468.165","481.002","493.839","506.676","519.512","532.349","551.982","599.403","666.093","733.678","630.513","670.533","710.554","764.519","823.744","888.824","960.425","1039.3","1103.5","1178.42","1228.54","1195.02","1208.96","1253.19","1314.56","1370.32","1424.73","1501.12","1503.09","1483.76","1472.2"
"INTL.4702-33-BGD-THP.A","        Bangladesh","79639.5","81767.5","83932.1","86142.5","88416.5","90764.2","93187.6","95671.2","98186.4","100696","103172","105599","107984","110351","112738","115170","117650","120161","122683","125190","127658","130089","132478","134792","136986","139036","140921","142660","144304","145925","147575","149273","151006","152761","154517","156256","157977","159685","161353","163021","164689"
"INTL.4702-33-BRB-THP.A","        Barbados","252.388","253.296","254.078","254.791","255.493","256.26","257.117","258.012","258.97","259.961","260.933","261.912","262.89","263.869","264.893","265.955","267.047","268.183","269.334","270.455","271.511","272.494","273.423","274.331","275.283","276.32","277.475","278.701","279.946","281.107","282.131","282.987","283.698","284.294","284.825","285.327","285.798","286.229","286.61","286.99","287.371"
"INTL.4702-33-BLR-THP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","10154.3","10135.1","10108.3","10077.6","10044.8","10009.4","9969.99","9924.44","9871.63","9811.4","9745.93","9679.24","9616.63","9562.08","9516.88","9480.51","9452.86","9433.16","9420.58","9415.32","9417.04","9423.5","9431.74","9439.42","9445.64","9450.23","9449.93","9449.62","9449.32"
"INTL.4702-33-BEL-THP.A","        Belgium","9860.275","9857.885","9856.732","9854.895","9855.96","9858.452","9862.555","9871.603","9908.15","9940.218","9972.277","10008.86","10050.95","10088.5","10119.35","10138.35","10160","10184","10205.7","10229.6","10254.28","10292.38","10338.53","10381.2","10427.3","10486.8","10557.1","10636","10720.75","10807.35","10940.38","11047.7","11114.7","11164.75","11216.15","11283.43","11336.5","11381.03","11434.15","11497.32","11538.1"
"INTL.4702-33-BLZ-THP.A","        Belize","144.142","147.572","151.486","155.82","160.341","164.918","169.569","174.333","179.023","183.471","187.554","191.136","194.324","197.625","201.679","206.962","213.66","221.575","230.248","238.979","247.31","255.068","262.387","269.428","276.516","283.798","291.338","299.031","306.822","314.655","322.465","330.236","338.001","345.707","353.366","360.926","368.399","375.775","383.057","390.339","397.621"
"INTL.4702-33-BEN-THP.A","        Benin","3717.16","3820.13","3927.72","4039.94","4156.82","4278.5","4404.5","4535.26","4672.84","4820.02","4978.49","5149.5","5331.81","5521.76","5714.21","5905.55","6094.27","6281.64","6470.27","6664.1","6865.95","7076.73","7295.4","7520.56","7750","7982.22","8216.89","8454.79","8696.92","8944.71","9199.25","9460.83","9729.25","10004.6","10286.8","10576","10872.1","11175.2","11491.2","11807.2","12123.2"
"INTL.4702-33-BMU-THP.A","        Bermuda","NA","NA","NA","NA","NA","NA","NA","NA","60.8156","61.2228","61.63","61.9918","62.3536","62.7154","63.0772","63.439","63.7546","64.0702","64.3858","64.7014","65.017","65.2656","65.5142","65.7628","66.0114","66.26","66.0856","65.9112","65.7368","65.5624","65.388","65.0494","64.7108","64.3722","64.0336","63.695","63.4106","63.1262","62.8418","62.5574","62.273"
"INTL.4702-33-BTN-THP.A","        Bhutan","406.883","418.359","429.835","441.312","452.788","464.264","477.571","490.879","504.186","517.494","530.801","531.567","532.332","533.098","533.863","534.629","545.906","557.183","568.46","579.737","591.014","602.56","614.106","625.652","637.198","648.744","656.096","663.447","670.799","678.15","685.502","693.979","702.455","710.932","719.408","727.885","736.63","745.376","754.121","762.867","771.612"
"INTL.4702-33-BOL-THP.A","        Bolivia","5579.93","5697.1","5814.34","5932.81","6054.13","6179.46","6309.13","6442.82","6580.32","6721.12","6864.84","7011.46","7160.92","7312.86","7466.79","7622.33","7779.27","7937.45","8096.76","8257.07","8418.27","8580.24","8742.82","8905.82","9069.04","9232.3","9395.45","9558.44","9721.46","9884.79","10048.6","10213","10377.7","10542.4","10706.5","10869.7","11031.8","11192.8","11352.9","11513","11673"
"INTL.4702-33-BIH-THP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","4233.67","4078.94","3936.53","3829.05","3764.42","3736.07","3734.34","3743.35","3751.18","3755.51","3759.39","3762.18","3764.19","3765.33","3765.42","3762.79","3754.26","3735.95","3705.48","3661.17","3604.97","3542.6","3482.11","3429.36","3386.26","3351.53","3327.96","3304.39","3280.81"
"INTL.4702-33-BWA-THP.A","        Botswana","897.8602","930.4117","962.859","996.1255","1031.443","1069.585","1110.948","1154.905","1200.073","1244.485","1286.755","1326.32","1363.54","1399.11","1434.06","1469.172","1504.725","1540.423","1575.825","1610.26","1643.335","1674.675","1704.638","1734.387","1765.533","1799.078","1835.91","1875.458","1915.635","1953.497","1987.11","2015.405","2039.55","2062.552","2088.62","2120.715","2159.925","2205.075","2253.925","2302.775","2351.625"
"INTL.4702-33-BRA-THP.A","        Brazil","121050.8","123920","126858.5","129819.8","132756","135626.2","138434","141204.8","143943.8","146653.8","149336","151983.8","154597.8","157188","159766.2","162344.8","164939","167538.7","170115.5","172640.8","175090","177471","179798.2","182065","184263.5","186384","188416","190365.8","192255.5","194108","195941.8","197752.5","199528.2","201272.5","202989","204683.5","206369","208039.8","209673.5","211246.2","212738.8"
"INTL.4702-33-VGB-THP.A","        British Virgin Islands","11.471","11.821","12.25","12.755","13.317","13.951","14.646","15.39","16.155","16.867","17.489","18.007","18.443","18.783","19.068","19.307","19.508","19.66","19.82","20.026","20.313","20.675","21.128","21.674","22.329","23.106","24.022","25.05","26.096","27.035","27.796","28.326","28.654","28.85","28.985","29.148","29.355","29.567","29.7903","30.0137","30.237"
"INTL.4702-33-BRN-THP.A","        Brunei","193.88","200.027","206.064","212.073","218.176","224.44","230.917","237.565","244.405","251.456","258.714","266.208","273.888","281.684","289.452","297.112","304.62","311.962","319.135","326.214","333.166","340.037","346.777","353.295","359.434","365.112","370.262","374.967","379.418","383.902","388.634","393.687","398.997","404.414","409.778","414.914","419.791","424.481","428.815","433.149","437.483"
"INTL.4702-33-BGR-THP.A","        Bulgaria","8865.312","8894.732","8920.426","8942.341","8963.312","8957.88","8960.245","8972.582","8982.745","8849.555","8706.035","8623.143","8526.335","8469.174","8439.547","8400.728","8357.355","8304.85","8250.183","8205.688","8164.995","7974.06","7829.248","7767.785","7709.788","7651.57","7593.935","7538.502","7486.2","7438.772","7389.058","7343.053","7300.555","7260.255","7218.505","7171.94","7121.33","7069.467","7018.79","6969.69","6920.695"
"INTL.4702-33-BFA-THP.A","        Burkina Faso","6822.84","6985.17","7158.26","7340.91","7531.24","7727.91","7930.69","8140.08","8356.31","8579.82","8811.03","9050.09","9297.11","9552.47","9816.58","10089.9","10372.7","10665.5","10968.7","11282.7","11608","11944.6","12293.1","12654.6","13030.6","13421.9","13829.2","14252","14689.7","15141.1","15605.2","16081.9","16571.2","17072.8","17586","18110.6","18646.3","19193.2","19763.2","20333.3","20903.3"
